player_name_str,canonical_player_name,fantasy_points_final,points_pairs_str,nation_code,role,match_id,team1,team2,runs,balls_faced,fours,sixes,is_out,wickets,bowled_lbw_wickets,maidens,legal_balls_bowled,runs_conceded_by_bowler,dot_balls,catches,stumpings,runouts_direct,runouts_indirect,strike_rate,bowling_economy,played_match_flag,is_captain_flag,is_vicecaptain_flag,runs_points_int,boundary_points_int,six_points_int,milestone_bonus_points_int,duck_points_int,wicket_points_int,lbw_bowled_bonus_points_int,maiden_points_int,wicket_haul_bonus_points_int,dot_ball_points_int,catch_points_int,catch_3_bonus_points_int,stumping_points_int,runout_direct_points_int,runout_indirect_points_int,strike_rate_points_int,economy_rate_points_int,appearance_points_int,batting_points_int,bowling_points_int,fielding_points_int,base_total_points_int,captain_multiplier_int,final_total_points_int,fantasy_points_int,eligible_fantasy_points_int,match_date_x,match_label_x,team_code,json_name_key,match_date_y,match_label_y
Sahibzada Farhan,Sahibzada Farhan,103,Runs: 47 → 47 | Fours: 4 → 16 | Sixes: 2 → 12 | Runs milestone bonus: 47 → 4 | Catches: 2 → 16 | Strike Rate: 151.61 → 4 | Announced: 1 → 4,PAK,WK,1512719,Netherlands,Pakistan,47,31,4,2,1,0,0,0,0,0,0,2,0,0,0,151.61,0.0,1,0,0,47,16,12,4,0,0,0,0,0,0,16,0,0,0,0,4,0,4,79,0,16,103,1,103,103,103,,,Pakistan,sahibzada farhan,2026-02-07,Netherlands vs Pakistan
Saim Ayub,Saim Ayub,118,Runs: 24 → 24 | Fours: 4 → 16 | Sixes: 1 → 6 | Wickets: 2 → 60 | Dot balls: 2 → 2 | Strike Rate: 184.62 → 6 | Announced: 1 → 4,PAK,AR,1512719,Netherlands,Pakistan,24,13,4,1,1,2,0,0,6,7,2,0,0,0,0,184.62,7.0,1,0,0,24,16,6,0,0,60,0,0,0,2,0,0,0,0,0,6,0,4,46,60,0,118,1,118,118,118,,,Pakistan,saim ayub,2026-02-07,Netherlands vs Pakistan
Agha Salman,Salman Agha,44,Runs: 12 → 12 | Fours: 3 → 12 | Catches: 2 → 16 | Announced: 1 → 4,PAK,AR,1512719,Netherlands,Pakistan,12,8,3,0,1,0,0,0,0,0,0,2,0,0,0,150.0,0.0,1,0,0,12,12,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4,24,0,16,44,1,44,44,44,,,Pakistan,agha salman,2026-02-07,Netherlands vs Pakistan
Babar Azam,Babar Azam,31,Runs: 15 → 15 | Fours: 1 → 4 | Catches: 1 → 8 | Announced: 1 → 4,PAK,BAT,1512719,Netherlands,Pakistan,15,18,1,0,1,0,0,0,0,0,0,1,0,0,0,83.33,0.0,1,0,0,15,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,19,0,8,31,1,31,31,31,,,Pakistan,babar azam,2026-02-07,Netherlands vs Pakistan
Usman Khan,Usman Khan,18,Duck: 0 → -2 | Catches: 2 → 16 | Announced: 1 → 4,PAK,WK,1512719,Netherlands,Pakistan,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0.0,0.0,1,0,0,0,0,0,0,-2,0,0,0,0,0,16,0,0,0,0,0,0,4,-2,0,16,18,1,18,18,18,,,Pakistan,usman khan,2026-02-07,Netherlands vs Pakistan
Shadab Khan,Shadab Khan,18,Runs: 8 → 8 | Dot balls: 6 → 6 | Strike Rate: 66.67 → -2 | Economy Rate: 6.5 → 2 | Announced: 1 → 4,PAK,AR,1512719,Netherlands,Pakistan,8,12,0,0,1,0,0,0,24,26,6,0,0,0,0,66.67,6.5,1,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,-2,2,4,8,0,0,18,1,18,18,18,,,Pakistan,shadab khan,2026-02-07,Netherlands vs Pakistan
Mohammad Nawaz,Mohammad Nawaz,78,Runs: 6 → 6 | Wickets: 2 → 60 | Dot balls: 6 → 6 | Catches: 1 → 8 | Strike Rate: 46.15 → -6 | Announced: 1 → 4,PAK,AR,1512719,Netherlands,Pakistan,6,13,0,0,1,2,0,0,24,38,6,1,0,0,0,46.15,9.5,1,0,0,6,0,0,0,0,60,0,0,0,6,8,0,0,0,0,-6,0,4,6,60,8,78,1,78,78,78,,,Pakistan,mohammad nawaz,2026-02-07,Netherlands vs Pakistan
Faheem Ashraf,Faheem Ashraf,69,Runs: 29 → 29 | Fours: 2 → 8 | Sixes: 3 → 18 | Runs milestone bonus: 29 → 4 | Strike Rate: 263.64 → 6 | Announced: 1 → 4,PAK,AR,1512719,Netherlands,Pakistan,29,11,2,3,0,0,0,0,0,0,0,0,0,0,0,263.64,0.0,1,0,0,29,8,18,4,0,0,0,0,0,0,0,0,0,0,0,6,0,4,59,0,0,69,1,69,69,69,,,Pakistan,faheem ashraf,2026-02-07,Netherlands vs Pakistan
Shaheen Shah Afridi,Shaheen Afridi,55,Runs: 5 → 5 | Wickets: 1 → 30 | Dot balls: 8 → 8 | Catches: 1 → 8 | Announced: 1 → 4,PAK,BOWL,1512719,Netherlands,Pakistan,5,9,0,0,0,1,0,0,18,28,8,1,0,0,0,55.56,9.33,1,0,0,5,0,0,0,0,30,0,0,0,8,8,0,0,0,0,0,0,4,5,30,8,55,1,55,55,55,,,Pakistan,shaheen shah afridi,2026-02-07,Netherlands vs Pakistan
Salman Mirza,Salman Mirza,114,Wickets: 3 → 90 | 3-Wicket bonus: 3 → 4 | Dot balls: 14 → 14 | Economy Rate: 6.26 → 2 | Announced: 1 → 4,PAK,BOWL,1512719,Netherlands,Pakistan,0,0,0,0,0,3,0,0,23,24,14,0,0,0,0,0.0,6.26,1,0,0,0,0,0,0,0,90,0,0,4,14,0,0,0,0,0,0,2,4,0,94,0,114,1,114,114,114,,,Pakistan,salman mirza,2026-02-07,Netherlands vs Pakistan
