participant_group,round,player_name,team,team_code,position,effective_position,is_playing_xi,sub_order,captain_flag,vice_flag,fantasy_points_final,potm_bonus,points_multiplier,counted_points,counted_points_type,subbed_out,subbed_in,final_playing_xi,team_round,match_date,match_id,chip_converter,chip_best11,chip_flexicap,chip_matchwinner,points_breakdown_str
Group 1,1,Tim Seifert,New Zealand,NZ,WK,WK,1,0,0,0,243.0,50,2,486.0,PLAYING_XI,0,0,1,1,2026-02-08,1512722,0,1,0,0,DID NOT PLAY
Group 1,1,Tristan Stubbs,South Africa,SA,WK,WK,1,0,0,0,84.0,0,1,84.0,PLAYING_XI,0,0,1,1,2026-02-09,1512727,0,1,0,0,Runs: 34 → 34 | Fours: 2 → 8 | Sixes: 2 → 12 | Runs milestone bonus: 34 → 4 | Catches: 2 → 16 | Strike Rate: 188.89 → 6 | Announced: 1 → 4
Group 1,1,Brandon King,West Indies,WI,BAT,BAT,1,0,0,0,65.0,0,1,65.0,PLAYING_XI,0,0,1,1,2026-02-07,1512720,0,1,0,0,Runs: 35 → 35 | Fours: 4 → 16 | Sixes: 1 → 6 | Runs milestone bonus: 35 → 4 | Announced: 1 → 4
Group 1,1,Sediqullah Atal,Afghanistan,AFG,BAT,BAT,0,1,0,0,45.0,0,1,45.0,PLAYING_XI,0,0,1,1,2026-02-08,1512722,0,1,0,0,DID NOT PLAY
Group 1,1,Axar Patel,India,IND,AR,AR,1,0,0,0,98.0,0,1,98.0,PLAYING_XI,0,0,1,1,2026-02-07,1512721,0,1,0,0,Runs: 14 → 14 | Fours: 2 → 8 | Wickets: 2 → 60 | Dot balls: 10 → 10 | Economy Rate: 6.0 → 2 | Announced: 1 → 4
Group 1,1,Jason Holder,West Indies,WI,AR,AR,1,0,0,0,115.0,0,1,115.0,PLAYING_XI,0,0,1,1,2026-02-07,1512720,0,1,0,0,Wickets: 3 → 90 | 3-Wicket bonus: 3 → 4 | Dot balls: 9 → 9 | Catches: 1 → 8 | Announced: 1 → 4
Group 1,1,Marco Jansen,South Africa,SA,AR,AR,1,0,0,0,76.0,0,1,76.0,PLAYING_XI,0,0,1,1,2026-02-09,1512727,0,1,0,0,Wickets: 2 → 60 | Dot balls: 12 → 12 | Announced: 1 → 4
Group 1,1,Marcus Stoinis,Australia,AUS,AR,AR,1,0,0,0,71.0,0,1,71.0,PLAYING_XI,0,0,1,1,2026-02-11,1512732,0,1,0,0,Runs: 45 → 45 | Fours: 2 → 8 | Sixes: 1 → 6 | Runs milestone bonus: 45 → 4 | Strike Rate: 155.17 → 4 | Announced: 1 → 4
Group 1,1,Anrich Nortje,South Africa,SA,BOWL,BOWL,0,4,0,0,0.0,0,1,0.0,PLAYING_XI,0,0,1,1,2026-02-09,1512727,0,1,0,0,DID NOT PLAY
Group 1,1,Nathan Ellis,Australia,AUS,BOWL,BOWL,0,2,0,0,231.0,50,1,231.0,PLAYING_XI,0,0,1,1,2026-02-11,1512732,0,1,0,0,Wickets: 4 → 120 | LBW/Bowled bonus: 2 → 16 | Maiden overs: 1 → 12 | 3-Wicket bonus: 4 → 8 | Dot balls: 15 → 15 | Economy Rate: 3.13 → 6 | Announced: 1 → 4
Group 1,1,Xavier Bartlett,Australia,AUS,BOWL,BOWL,1,0,0,0,23.0,0,1,23.0,PLAYING_XI,0,0,1,1,2026-02-11,1512732,0,1,0,0,Runs: 11 → 11 | Fours: 2 → 8 | Dot balls: 4 → 4 | Economy Rate: 11.0 → -4 | Announced: 1 → 4
Group 1,1,Sanju Samson,India,IND,WK,WK,1,0,0,0,0.0,0,1,0.0,SUB,0,0,0,1,2026-02-07,1512721,0,1,0,0,DID NOT PLAY
Group 1,1,Charith Asalanka,Sri Lanka,SL,AR,AR,0,3,0,0,0.0,0,1,0.0,SUB,0,0,0,1,2026-02-08,1512724,0,1,0,0,DID NOT PLAY
Group 1,1,Josh Hazlewood,Australia,AUS,BOWL,BOWL,1,0,0,0,0.0,0,1,0.0,SUB,0,0,0,1,2026-02-11,1512732,0,1,0,0,DID NOT PLAY
Group 1,1,Naseem Shah,Pakistan,PAK,BOWL,BOWL,1,0,0,0,0.0,0,1,0.0,SUB,0,0,0,1,2026-02-07,1512719,0,1,0,0,DID NOT PLAY
Group 2,1,Philip Salt,England,ENG,WK,WK,1,0,0,0,13.0,0,1,13.0,PLAYING_XI,0,0,1,1,2026-02-08,1512723,0,0,0,0,Runs: 1 → 1 | Catches: 1 → 8 | Announced: 1 → 4
Group 2,1,Sahibzada Farhan,Pakistan,PAK,WK,WK,1,0,0,0,103.0,0,1,103.0,PLAYING_XI,0,0,1,1,2026-02-07,1512719,0,0,0,0,Runs: 47 → 47 | Fours: 4 → 16 | Sixes: 2 → 12 | Runs milestone bonus: 47 → 4 | Catches: 2 → 16 | Strike Rate: 151.61 → 4 | Announced: 1 → 4
Group 2,1,Shai Hope,West Indies,WI,WK,WK,1,0,0,0,31.0,0,1,31.0,PLAYING_XI,0,0,1,1,2026-02-07,1512720,0,0,0,0,Runs: 19 → 19 | Fours: 2 → 8 | Announced: 1 → 4
Group 2,1,Tom Banton,England,ENG,WK,WK,1,0,0,0,14.0,0,1,14.0,PLAYING_XI,0,0,1,1,2026-02-08,1512723,0,0,0,0,Runs: 2 → 2 | Catches: 1 → 8 | Announced: 1 → 4
Group 2,1,Ishan Kishan,India,IND,WK,BAT,1,0,1,0,52.0,0,2,104.0,PLAYING_XI,0,0,1,1,2026-02-07,1512721,1,0,0,0,Runs: 20 → 20 | Fours: 1 → 4 | Sixes: 2 → 12 | Stumpings: 1 → 12 | Announced: 1 → 4
Group 2,1,Rinku Singh,India,IND,BAT,BAT,0,2,0,0,12.0,0,1,12.0,PLAYING_XI,0,1,1,1,2026-02-07,1512721,0,0,0,0,Runs: 6 → 6 | Catches: 1 → 8 | Strike Rate: 42.86 → -6 | Announced: 1 → 4
Group 2,1,Daryl Mitchell,New Zealand,NZ,AR,AR,1,0,0,0,49.0,0,1,49.0,PLAYING_XI,0,0,1,1,2026-02-08,1512722,0,0,0,0,DID NOT PLAY
Group 2,1,Gudakesh Motie,West Indies,WI,AR,AR,1,0,0,0,49.0,0,1,49.0,PLAYING_XI,0,0,1,1,2026-02-07,1512720,0,0,0,0,Wickets: 1 → 30 | LBW/Bowled bonus: 1 → 8 | Dot balls: 7 → 7 | Announced: 1 → 4
Group 2,1,Arshdeep Singh,India,IND,BOWL,BOWL,1,0,0,1,91.0,0,1,91.0,PLAYING_XI,0,0,1,1,2026-02-07,1512721,0,0,0,0,Runs: 4 → 4 | Fours: 1 → 4 | Wickets: 2 → 60 | Dot balls: 13 → 13 | Economy Rate: 4.5 → 6 | Announced: 1 → 4
Group 2,1,Fazalhaq Farooqi,Afghanistan,AFG,BOWL,BOWL,1,0,0,0,3.0,0,1,3.0,PLAYING_XI,0,0,1,1,2026-02-08,1512722,0,0,0,0,DID NOT PLAY
Group 2,1,Jacob Duffy,New Zealand,NZ,BOWL,BOWL,1,0,0,0,40.0,0,1,40.0,PLAYING_XI,0,0,1,1,2026-02-08,1512722,0,0,0,0,DID NOT PLAY
Group 2,1,Fakhar Zaman,Pakistan,PAK,BAT,BAT,1,0,0,0,0.0,0,1,0.0,SUB,1,0,0,1,2026-02-07,1512719,0,0,0,0,DID NOT PLAY
Group 2,1,Matt Renshaw,Australia,AUS,BAT,BAT,0,4,0,0,53.0,0,1,0.0,SUB,0,0,0,1,2026-02-11,1512732,0,0,0,0,Runs: 37 → 37 | Fours: 2 → 8 | Runs milestone bonus: 37 → 4 | Announced: 1 → 4
Group 2,1,Quentin Sampson,West Indies,WI,AR,AR,0,3,0,0,0.0,0,1,0.0,SUB,0,0,0,1,2026-02-07,1512720,0,0,0,0,DID NOT PLAY
Group 2,1,Matthew Forde,West Indies,WI,BOWL,BOWL,0,1,0,0,10.0,0,1,0.0,SUB,0,0,0,1,2026-02-07,1512720,0,0,0,0,Runs: 1 → 1 | Dot balls: 5 → 5 | Announced: 1 → 4
Group 3,1,Jos Buttler,England,ENG,WK,WK,1,0,0,0,66.0,0,1,66.0,PLAYING_XI,0,0,1,1,2026-02-08,1512723,0,1,0,0,Runs: 26 → 26 | Fours: 5 → 20 | Runs milestone bonus: 26 → 4 | Catches: 1 → 8 | Strike Rate: 152.94 → 4 | Announced: 1 → 4
Group 3,1,David Miller,South Africa,SA,BAT,BAT,1,0,0,0,75.0,0,1,75.0,PLAYING_XI,0,0,1,1,2026-02-09,1512727,0,1,0,0,Runs: 39 → 39 | Fours: 1 → 4 | Sixes: 3 → 18 | Runs milestone bonus: 39 → 4 | Strike Rate: 177.27 → 6 | Announced: 1 → 4
Group 3,1,Ibrahim Zadran,Afghanistan,AFG,BAT,BAT,1,0,0,0,18.0,0,1,18.0,PLAYING_XI,0,0,1,1,2026-02-08,1512722,0,1,0,0,DID NOT PLAY
Group 3,1,Pavan Rathnayake,Sri Lanka,SL,BAT,BAT,1,0,0,0,17.0,0,1,17.0,PLAYING_XI,0,0,1,1,2026-02-08,1512724,0,1,0,0,Runs: 5 → 5 | Catches: 1 → 8 | Announced: 1 → 4
Group 3,1,Rovman Powell,West Indies,WI,BAT,BAT,1,0,0,0,58.0,0,1,58.0,PLAYING_XI,0,0,1,1,2026-02-07,1512720,0,1,0,0,Runs: 24 → 24 | Fours: 1 → 4 | Sixes: 2 → 12 | Catches: 1 → 8 | Strike Rate: 171.43 → 6 | Announced: 1 → 4
Group 3,1,Azmatullah Omarzai,Afghanistan,AFG,AR,AR,1,0,0,0,73.0,0,1,73.0,PLAYING_XI,0,0,1,1,2026-02-08,1512722,0,1,0,0,DID NOT PLAY
Group 3,1,Dunith Wellalage,Sri Lanka,SL,AR,AR,0,4,0,0,53.0,0,1,53.0,PLAYING_XI,0,0,1,1,2026-02-08,1512724,0,1,0,0,Runs: 10 → 10 | Wickets: 1 → 30 | Dot balls: 9 → 9 | Announced: 1 → 4
Group 3,1,Gulbadin Naib,Afghanistan,AFG,AR,AR,0,3,0,0,117.0,0,2,234.0,PLAYING_XI,0,0,1,1,2026-02-08,1512722,0,1,0,0,DID NOT PLAY
Group 3,1,Rashid Khan,Afghanistan,AFG,AR,AR,1,0,0,0,55.0,0,1,55.0,PLAYING_XI,0,0,1,1,2026-02-08,1512722,0,1,0,0,DID NOT PLAY
Group 3,1,Jofra Archer,England,ENG,BOWL,BOWL,1,0,0,0,42.0,0,1,42.0,PLAYING_XI,0,0,1,1,2026-02-08,1512723,0,1,0,0,Runs: 1 → 1 | Wickets: 1 → 30 | Dot balls: 9 → 9 | Economy Rate: 10.5 → -2 | Announced: 1 → 4
Group 3,1,Matt Henry,New Zealand,NZ,BOWL,BOWL,0,1,0,0,45.0,0,1,45.0,PLAYING_XI,0,0,1,1,2026-02-08,1512722,0,1,0,0,DID NOT PLAY
Group 3,1,Tim David,Australia,AUS,BAT,BAT,1,0,0,0,0.0,0,1,0.0,SUB,0,0,0,1,2026-02-11,1512732,0,1,0,0,DID NOT PLAY
Group 3,1,Akeal Hosein,West Indies,WI,BOWL,BOWL,1,0,0,0,-1.0,0,1,0.0,SUB,0,0,0,1,2026-02-07,1512720,0,1,0,0,Dot balls: 1 → 1 | Economy Rate: 13.0 → -6 | Announced: 1 → 4
Group 3,1,Ish Sodhi,New Zealand,NZ,BOWL,BOWL,0,2,0,0,0.0,0,1,0.0,SUB,0,0,0,1,2026-02-08,1512722,0,1,0,0,DID NOT PLAY
Group 3,1,Jasprit Bumrah,India,IND,BOWL,BOWL,1,0,0,0,0.0,0,1,0.0,SUB,0,0,0,1,2026-02-07,1512721,0,1,0,0,DID NOT PLAY
Group 4,1,Johnson Charles,West Indies,WI,WK,WK,1,0,0,0,0.0,0,1,0.0,PLAYING_XI,0,0,1,1,2026-02-07,1512720,0,1,0,0,DID NOT PLAY
Group 4,1,Jason Smith,South Africa,SA,BAT,BAT,1,0,0,0,0.0,0,1,0.0,PLAYING_XI,0,0,1,1,2026-02-09,1512727,0,1,0,0,DID NOT PLAY
